"noms","longitude","latitude"
"pal3-el-600-6",-61.6762616850619,47.5542120542002
"pal3-el-600-7",-61.6772116241394,47.5533466058639
"pal3-el-600-8",-61.6727271220325,47.5507575633508
"pal3-el-600-9",-61.6749080323445,47.5526734518829
"pal3-mo-100-10",-61.669305010774,47.5519407068446
"pal3-mo-100-6",-61.6697947730333,47.5514018111133
"pal3-mo-100-7",-61.6705230926278,47.5507782396906
"pal3-mo-100-8",-61.6706565591547,47.5513262009864
"pal3-mo-100-9",-61.6701301824005,47.5516261585621
"pal3-mo-1100-10",-61.6801195686953,47.5569530821857
"pal3-mo-1100-6",-61.6769555347402,47.5575903779607
"pal3-mo-1100-7",-61.6784749799688,47.556186629135
"pal3-mo-1100-8",-61.6760390926975,47.556320240914
"pal3-mo-1100-9",-61.6783570639166,47.55810107381
"pal3-mo-600-10",-61.6724626358523,47.5539670273028
"pal3-mo-600-6",-61.6711259695016,47.5528698083528
"pal3-mo-600-7",-61.6745824659659,47.5534116002911
"pal3-mo-600-8",-61.6751763986523,47.5548008649401
"pal3-mo-600-9",-61.671654396282,47.5531682060164
"pal3-pr-100-10",-61.6665317437173,47.5538642070267
"pal3-pr-100-6",-61.6682605827768,47.5531965168264
"pal3-pr-100-7",-61.667695058958,47.5527851108006
"pal3-pr-100-8",-61.6680288460417,47.5533872096674
"pal3-pr-100-9",-61.6667230745653,47.5534564387187
"pal3-pr-1100-10",-61.6763209898905,47.5597875173766
"pal3-pr-1100-6",-61.6744442003302,47.5564167991281
"pal3-pr-1100-7",-61.6769652890455,47.5594251545978
"pal3-pr-1100-8",-61.6762192926049,47.5590161932039
"pal3-pr-1100-9",-61.6738766730424,47.5577938972018
"pal3-pr-600-10",-61.6714850184506,47.5545552980611
"pal3-pr-600-6",-61.6721878427747,47.5559066434739
"pal3-pr-600-7",-61.6723711073833,47.5557918381659
"pal3-pr-600-8",-61.6684405548599,47.554107723106
"pal3-pr-600-9",-61.6715909079283,47.554852329054
"pal4-el-100-10",-61.6589581499367,47.5578960101836
"pal4-el-100-6",-61.6600700016694,47.557533516734
"pal4-el-100-7",-61.6601581078738,47.5578893561693
"pal4-el-100-8",-61.661474539454,47.5567264492384
"pal4-el-100-9",-61.6609353140449,47.5574562422159
"pal4-el-1100-10",-61.668288368504,47.5631429397892
"pal4-el-1100-6",-61.6664122230047,47.562778529549
"pal4-el-1100-7",-61.6664698011817,47.5624705394814
"pal4-el-1100-8",-61.6670128065039,47.5629399884934
"pal4-el-1100-9",-61.6696716167918,47.5634009255864
"pal4-el-600-10",-61.6624373526196,47.5594797201661
"pal4-el-600-6",-61.6606498633793,47.5585344548992
"pal4-el-600-7",-61.6629374453889,47.5578841536146
"pal4-el-600-8",-61.6635242629078,47.5595839582271
"pal4-el-600-9",-61.6636986634262,47.5613878916149
"pal4-mo-100-10",-61.6630869878454,47.5553816525837
"pal4-mo-100-6",-61.6624578451982,47.5562513598884
"pal4-mo-100-7",-61.6634953637402,47.5558564633969
"pal4-mo-100-8",-61.6630374617307,47.5563342642519
"pal4-mo-100-9",-61.6634797710789,47.5559047682559
"pal4-mo-1100-10",-61.6722864055559,47.5624534797376
"pal4-mo-1100-6",-61.6716516316208,47.563299130609
"pal4-mo-1100-7",-61.6708487722402,47.560976780258
"pal4-mo-1100-8",-61.6704072855554,47.561679088148
"pal4-mo-1100-9",-61.6683723305013,47.5610677936845
"pal4-mo-600-10",-61.6632127402439,47.5569026617819
"pal4-mo-600-6",-61.6626842129538,47.5568843240424
