"noms","longitude","latitude"
"pal1-pr-1100-5",-61.689007039439,47.5498575184099
"pal1-pr-600-1",-61.6852157746808,47.5478503598057
"pal1-pr-600-2",-61.6850956696643,47.547281105607
"pal1-pr-600-3",-61.6830412065248,47.5454347656031
"pal1-pr-600-4",-61.6859720970447,47.5464760390091
"pal1-pr-600-5",-61.6844271098279,47.5455709718438
"pal2-el-100-1",-61.6804222255283,47.545141261422
"pal2-el-100-2",-61.6803208447798,47.5446462749545
"pal2-el-100-3",-61.6806963106827,47.5452460426272
"pal2-el-100-4",-61.6791444276691,47.5462017897241
"pal2-el-100-5",-61.6785993529878,47.5464665134632
"pal2-el-1100-1",-61.6857598862803,47.5493973753388
"pal2-el-1100-2",-61.6856990755499,47.5504779579793
"pal2-el-1100-3",-61.6885766937983,47.5523654717434
"pal2-el-1100-4",-61.6838988075077,47.5495000424545
"pal2-el-1100-5",-61.6872689007549,47.553079468688
"pal2-el-600-1",-61.6819493731285,47.5482773693932
"pal2-el-600-2",-61.6812918606795,47.5465953451953
"pal2-el-600-3",-61.6825872951995,47.5482668991348
"pal2-el-600-4",-61.6832769354556,47.5497466512886
"pal2-el-600-5",-61.6810269381875,47.5461985055696
"pal2-mo-100-1",-61.6782934363835,47.5468172049052
"pal2-mo-100-2",-61.6778817712641,47.5468245343124
"pal2-mo-100-3",-61.6764999429961,47.5468626781113
"pal2-mo-100-4",-61.678169309204,47.5467792484512
"pal2-mo-100-5",-61.6761620357776,47.5480091904379
"pal2-mo-1100-1",-61.6832317207118,47.5529248024659
"pal2-mo-1100-2",-61.6830917112582,47.5507933182275
"pal2-mo-1100-3",-61.6830387511981,47.5533891877399
"pal2-mo-1100-4",-61.6866351322655,47.5537036499311
"pal2-mo-1100-5",-61.6831440854507,47.5511886121616
"pal2-mo-600-1",-61.680382888293,47.5488022440665
"pal2-mo-600-2",-61.6778896815861,47.5481547671409
"pal2-mo-600-3",-61.6806744294331,47.5502122042007
"pal2-mo-600-4",-61.6807068421947,47.5513598253356
"pal2-mo-600-5",-61.6788022280089,47.5478843385153
"pal2-pr-100-1",-61.6745259075154,47.5480237491251
"pal2-pr-100-2",-61.6738373317884,47.5490042189203
"pal2-pr-100-3",-61.6743643093334,47.5480699485237
"pal2-pr-100-4",-61.675236705555,47.5481959895163
"pal2-pr-100-5",-61.6750792771287,47.5482573860154
"pal2-pr-1100-1",-61.6835995751096,47.5538931182352
"pal2-pr-1100-2",-61.6812812739819,47.5547692465126
"pal2-pr-1100-3",-61.6793308972983,47.5529685946374
"pal2-pr-1100-4",-61.6833401099405,47.5543576531876
"pal2-pr-1100-5",-61.6804934830509,47.5541599698746
"pal2-pr-600-1",-61.6767191426276,47.549066471268
"pal2-pr-600-2",-61.6793776066974,47.5514367202509
"pal2-pr-600-3",-61.6759971540723,47.5502963907752
"pal2-pr-600-4",-61.6784659487819,47.5519022514395
"pal2-pr-600-5",-61.6786559860974,47.5525960450814
"pal3-el-100-1",-61.6725483798148,47.5503149521454
"pal3-el-100-2",-61.6722187400947,47.5505256666867
"pal3-el-100-3",-61.6711404856989,47.5508996279094
"pal3-el-100-4",-61.671064851997,47.5503554087103
"pal3-el-100-5",-61.6723587564158,47.5494248552302
"pal3-el-1100-1",-61.6820991255645,47.5562119642719
"pal3-el-1100-2",-61.6805524024038,47.5564951738951
"pal3-el-1100-3",-61.6807818303692,47.5555684558911
"pal3-el-1100-4",-61.678391508101,47.5551149375062
"pal3-el-1100-5",-61.6767883095745,47.5539728428933
"pal3-el-600-1",-61.6744279135687,47.5518043257006
"pal3-el-600-2",-61.673813058675,47.5504047092583
"pal3-el-600-3",-61.677705148062,47.5524634095303
"pal3-el-600-4",-61.6730679609787,47.5510025729624
"pal3-el-600-5",-61.673190205857,47.5514317553562
"pal3-mo-100-1",-61.6703735524802,47.5517892231221
"pal3-mo-100-2",-61.6712328967547,47.5511633439464
"pal3-mo-100-3",-61.6698563987408,47.552017007459
"pal3-mo-100-4",-61.670146129735,47.5513818290354
"pal3-mo-100-5",-61.6704650808266,47.5512306240493
"pal3-mo-1100-1",-61.6796716416674,47.5582224092232
"pal3-mo-1100-2",-61.6763366051012,47.5554522017204
"pal3-mo-1100-3",-61.6793736355418,47.5579379795324
"pal3-mo-1100-4",-61.6769189280842,47.5558099706339
"pal3-mo-1100-5",-61.6785570024686,47.5565716408584
"pal3-mo-600-1",-61.67418251101,47.5550011134362
"pal3-mo-600-2",-61.6727271177085,47.5522437052818
"pal3-mo-600-3",-61.6712890132817,47.5535885791066
